ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1301093,JMIR Formative Research,973,155,0.159301131,28278,24.87465034,83,1.081997132,0,2561-326X,JMIR Publications,Gold OA,2500,original,https://web.archive.org/web/20250612215913/https://www.researchprotocols.org/about-journal/article-processing-fees,$1250: Research Letter,for profit
jour.1312031,The Journal of Physiology,494,154,0.311740891,28432,25.01011594,84,1.095033242,0022-3751,1469-7793,Wiley,Hybrid OA,5400,original,0,0,for profit
jour.1345383,Bioinformatics,642,152,0.236760125,28584,25.14382224,85,1.108069352,1367-4803,1367-4811,Oxford University Press (OUP),Gold OA,3989,original,0,0,not for profit
jour.1105545,Annals of Surgical Oncology,934,150,0.160599572,28734,25.27576925,86,1.121105462,1068-9265,1534-4681,Springer Nature,Hybrid OA,4590,original,0,0,for profit
jour.1017622,Genetics,261,149,0.570881226,28883,25.40683661,87,1.134141572,0016-6731,1943-2631,Oxford University Press (OUP),Hybrid OA,4477,original,0,0,not for profit
jour.1113716,Nature Medicine,493,149,0.302231237,29032,25.53790398,88,1.147177682,1078-8956,1546-170X,Springer Nature,Hybrid OA,12690,original,0,0,for profit
jour.1327772,Protein Science,412,148,0.359223301,29180,25.66809169,89,1.160213792,0961-8368,1469-896X,Wiley,Hybrid OA,4480,original,0,0,for profit
jour.1050984,EBioMedicine,467,147,0.314775161,29327,25.79739976,90,1.173249902,0,2352-3964,Elsevier,Gold OA,5780,original,0,0,for profit
jour.1384845,Communications Medicine,573,146,0.254799302,29473,25.92582819,91,1.186286012,0,2730-664X,Springer Nature,Gold OA,3690,original,0,0,for profit
jour.1103138,Nature Genetics,326,145,0.444785276,29618,26.05337696,92,1.199322122,1061-4036,1546-1718,Springer Nature,Hybrid OA,12690,original,0,0,for profit
jour.1295039,JAIDS Journal of Acquired Immune Deficiency Syndromes,243,144,0.592592593,29762,26.18004609,93,1.212358232,1525-4135,1944-7884,Wolters Kluwer,Hybrid OA,4900,original,https://web.archive.org/web/20250602163525/https://editingservices.lww.com/open-access-hybrid,0,for profit
jour.1077105,Journal of Molecular Biology,419,143,0.341288783,29905,26.30583558,94,1.225394342,0022-2836,1089-8638,Elsevier,Hybrid OA,4730,original,0,0,for profit
jour.1101916,Cancer Epidemiology Biomarkers & Prevention,249,142,0.570281124,30047,26.43074541,95,1.238430452,1055-9965,1538-7755,American Association for Cancer Research (AACR),Hybrid OA,5000,original,https://web.archive.org/web/20250522200823/https://aacrjournals.org/pages/publication-fees-and-reprints#openaccessfees,"Base publication fee: $600, Display item fee $250 per item, APC CC BY-NC-ND $4000, APC CC BY $5000",not for profit
jour.1118362,Nature Neuroscience,269,142,0.527881041,30189,26.55565525,96,1.251466562,1097-6256,1546-1726,Springer Nature,Hybrid OA,12690,original,0,0,for profit
jour.1086802,Alcohol Clinical and Experimental Research,207,141,0.68115942,30330,26.67968544,97,1.264502672,0145-6008,2993-7175,Wiley,Hybrid OA,4110,original,0,0,for profit
jour.1312070,Journal of Medical Internet Research,1606,141,0.087795766,30471,26.80371563,98,1.277538782,1438-8871,1439-4456,JMIR Publications,Gold OA,3350,original,https://web.archive.org/web/20250612215913/https://www.researchprotocols.org/about-journal/article-processing-fees,$1850: Research Letter,for profit
jour.1017429,The FASEB Journal,1041,140,0.134486071,30611,26.92686617,99,1.290574892,0892-6638,1530-6860,Wiley,Hybrid OA,3740,original,0,0,for profit
jour.1045271,Translational Psychiatry,560,139,0.248214286,30750,27.04913707,100,1.303611002,0,2158-3188,Springer Nature,Gold OA,5290,original,0,0,for profit
jour.1048290,Journal of Clinical Medicine,8966,137,0.015279946,30887,27.16964867,101,1.316647113,0,2077-0383,MDPI,Gold OA,3182.880974,converted from CHF,0,0,for profit
jour.1090493,American Journal of Epidemiology,263,136,0.517110266,31023,27.28928062,102,1.329683223,0002-9262,1476-6256,Oxford University Press (OUP),Hybrid OA,4856,original,0,0,not for profit
jour.1038917,ACS Nano,3117,134,0.042990055,31157,27.40715329,103,1.342719333,1936-0851,1936-086X,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1313736,Substance Use & Misuse,338,133,0.393491124,31290,27.5241463,104,1.355755443,1082-6084,1532-2491,Taylor & Francis,Hybrid OA,4409.333038,converted from EUR,0,0,for profit
jour.1030078,Aging Cell,360,133,0.369444444,31423,27.64113932,105,1.368791553,1474-9718,1474-9726,Wiley,Gold OA,3790,original,0,0,for profit
jour.1089721,Clinical Infectious Diseases,448,133,0.296875,31556,27.75813233,106,1.381827663,1058-4838,1537-6591,Oxford University Press (OUP),Hybrid OA,4763,original,0,0,not for profit
